Sourcefile	20260427 151445 Faraday Airdemo Scan Analog.qmp
Exporttime	27.04.2026 15:43:53

Start Time	27.04.2026 15:29:05
End Time	27.04.2026 15:43:26


Task Name	Scan
First Mass	0,00
Scan Width	50,00

Start Time	27.04.2026 15:29:05

Mass [amu]	Ion Current [A]
24,38	-1,304449e-013
24,41	-1,265129e-013
24,44	-1,245636e-013
24,47	-1,255195e-013
24,50	-1,297270e-013
24,53	-1,371569e-013
24,56	-1,462726e-013
24,59	-1,535228e-013
24,63	-1,559829e-013
24,66	-1,540935e-013
24,69	-1,504349e-013
24,72	-1,472301e-013
24,75	-1,458899e-013
24,78	-1,469486e-013
24,81	-1,496177e-013
24,84	-1,520894e-013
24,88	-1,525382e-013
24,91	-1,503780e-013
24,94	-1,466229e-013
24,97	-1,428691e-013
25,00	-1,401376e-013
25,03	-1,383155e-013
25,06	-1,374113e-013
25,09	-1,392302e-013
25,13	-1,447635e-013
25,16	-1,508752e-013
25,19	-1,535234e-013
25,22	-1,526248e-013
25,25	-1,506809e-013
25,28	-1,487947e-013
25,31	-1,469890e-013
25,34	-1,461481e-013
25,38	-1,467256e-013
25,41	-1,478096e-013
25,44	-1,486847e-013
25,47	-1,487806e-013
25,50	-1,467886e-013
25,53	-1,426973e-013
25,56	-1,393303e-013
25,59	-1,396652e-013
25,63	-1,436754e-013
25,66	-1,483109e-013
25,69	-1,500238e-013
25,72	-1,478882e-013
25,75	-1,441863e-013
25,78	-1,415028e-013
25,81	-1,403712e-013
25,84	-1,398587e-013
25,88	-1,394265e-013
25,91	-1,398586e-013
25,94	-1,421473e-013
25,97	-1,461175e-013
26,00	-1,504428e-013
26,03	-1,533267e-013
26,06	-1,529476e-013
26,09	-1,488127e-013
26,13	-1,432859e-013
26,16	-1,399217e-013
26,19	-1,404633e-013
26,22	-1,439460e-013
26,25	-1,477365e-013
26,28	-1,497735e-013
26,31	-1,500871e-013
26,34	-1,501117e-013
26,38	-1,510287e-013
26,41	-1,522274e-013
26,44	-1,515105e-013
26,47	-1,483565e-013
26,50	-1,456707e-013
26,53	-1,461422e-013
26,56	-1,494809e-013
26,59	-1,541603e-013
26,63	-1,578914e-013
26,66	-1,576130e-013
26,69	-1,525753e-013
26,72	-1,454281e-013
26,75	-1,396117e-013
26,78	-1,373861e-013
26,81	-1,387895e-013
26,84	-1,413033e-013
26,88	-1,419717e-013
26,91	-1,398963e-013
26,94	-1,365993e-013
26,97	-1,353222e-013
27,00	-1,383561e-013
27,03	-1,437430e-013
27,06	-1,472920e-013
27,09	-1,473611e-013
27,13	-1,457692e-013
27,16	-1,455010e-013
27,19	-1,474532e-013
27,22	-1,493383e-013
27,25	-1,488457e-013
27,28	-1,455231e-013
27,31	-1,397177e-013
27,34	-1,336688e-013
27,38	-1,315568e-013
27,41	-1,342760e-013
27,44	-1,378873e-013
27,47	-1,397388e-013
27,50	-1,404062e-013
27,53	-1,386982e-013
27,56	-1,303559e-013
27,59	-1,115271e-013
27,63	-8,118080e-014
27,66	-4,309273e-014
27,69	-6,379521e-015
27,72	2,030354e-014
27,75	3,589402e-014
27,78	4,521243e-014
27,81	5,193256e-014
27,84	5,654752e-014
27,88	5,880417e-014
27,91	5,875317e-014
27,94	5,668425e-014
27,97	5,376093e-014
28,00	5,079694e-014
28,03	4,632657e-014
28,06	3,887917e-014
28,09	3,014820e-014
28,13	2,259318e-014
28,16	1,534378e-014
28,19	5,787561e-015
28,22	-6,030490e-015
28,25	-1,708997e-014
28,28	-2,493094e-014
28,31	-3,048170e-014
28,34	-3,661754e-014
28,38	-4,420438e-014
28,41	-5,216953e-014
28,44	-6,162899e-014
28,47	-7,624499e-014
28,50	-9,732909e-014
28,53	-1,211097e-013
28,56	-1,412505e-013
28,59	-1,532852e-013
28,63	-1,574173e-013
28,66	-1,567555e-013
28,69	-1,536729e-013
28,72	-1,494825e-013
28,75	-1,453008e-013
28,78	-1,420347e-013
